iter	RMSE
0	0.6346638592
1	0.6114566775
2	0.5894053688
3	0.5687094415
4	0.5494156979
5	0.5311028317
6	0.5137468302
7	0.4971574283
8	0.4818387526
9	0.4672531138
10	0.4531696254
11	0.4401411635
12	0.4281688904
13	0.4165604372
14	0.4057824429
15	0.39559508
16	0.3860135592
17	0.3770926641
18	0.3690839389
19	0.3609991806
20	0.3534370075
21	0.3465249559
22	0.3399789766
23	0.3335189173
24	0.3270141065
25	0.3207853358
26	0.3149647268
27	0.3093725793
28	0.304075419
29	0.2992850412
30	0.2948108411
31	0.2906642383
32	0.2866813166
33	0.282975914
34	0.2794503264
35	0.2760781132
36	0.2730316938
37	0.2701755183
38	0.2673041606
39	0.2648595966
40	0.2626350457
41	0.2603676397
42	0.2582504272
43	0.2562552837
44	0.2543824284
45	0.2526459368
46	0.2509694975
47	0.2494070645
48	0.2480356156
49	0.2466602577
50	0.245288281
51	0.2439341536
52	0.2427797617
53	0.2416990524
54	0.2407542877
55	0.2398274411
56	0.2388895206
57	0.2380929596
58	0.2371500171
59	0.2362116441
60	0.2354464875
61	0.2346628398
62	0.233964425
63	0.2333021147
64	0.2327531548
65	0.2321153079
66	0.2315455539
67	0.2309700842
68	0.2304772142
69	0.2300148146
70	0.2294994033
71	0.2289052349
72	0.2284804396
73	0.2280408238
74	0.2275841661
75	0.2272222944
76	0.226755979
77	0.2262858966
78	0.2259507166
79	0.2253591575
80	0.2250360529
81	0.224659056
82	0.2243766576
83	0.2240546914
84	0.2236163368
85	0.2233581366
86	0.2230878318
87	0.2228045701
88	0.2225780298
89	0.222353361
90	0.2221158827
91	0.2219018785
92	0.2216809735
93	0.2214339384
94	0.2211986115
95	0.2208779972
96	0.2205649862
97	0.2203559674
98	0.2201602069
99	0.2199946391
100	0.2198480429
101	0.2196678898
102	0.219341814
103	0.2191091738
104	0.21889778
105	0.2187060654
106	0.2184234415
107	0.2183137519
108	0.2181867783
109	0.218057768
110	0.2177987747
111	0.2176774836
112	0.2174321801
113	0.2172600246
114	0.2170017939
115	0.2169111566
116	0.2167776751
117	0.2166625173
118	0.2165734089
119	0.2164670453
120	0.216332362
121	0.2162109454
122	0.2161236329
123	0.2159738779
124	0.2157893148
125	0.2156881486
126	0.2155514432
127	0.215382527
128	0.2152499906
129	0.2150962182
130	0.2149525231
131	0.2148208821
132	0.2147362539
133	0.2146240975
134	0.21451296
135	0.2143244774
136	0.2142105486
137	0.2140637098
138	0.214006788
139	0.2139049072
140	0.2137201552
141	0.2136249429
142	0.213542863
143	0.2134520291
144	0.2132516825
145	0.2131555162
146	0.2130849176
147	0.2129125675
148	0.212859065
149	0.2126914067
150	0.2125385147
151	0.2124308507
152	0.2123723324
153	0.2122612489
154	0.2122151305
155	0.2121177667
156	0.212053815
157	0.2119759862
158	0.2119113196
159	0.2118104062
160	0.21176968
161	0.2116899437
162	0.2116061125
163	0.2114781146
164	0.2113787189
165	0.2112945871
166	0.2112341568
167	0.2110816285
168	0.2109608008
169	0.2108489997
170	0.2106865729
171	0.2105719586
172	0.2104969876
173	0.2103493162
174	0.210265491
175	0.2101081805
176	0.2099730803
177	0.2098519488
178	0.209783161
179	0.2097224743
180	0.2096519083
181	0.2095386715
182	0.209448541
183	0.2093857321
184	0.2093334146
185	0.2092754171
186	0.2091389425
187	0.209088962
188	0.2090008428
189	0.2089401851
190	0.2088622245
191	0.2087533371
192	0.2086794862
193	0.2086200618
194	0.2085305029
195	0.2084468753
196	0.2083778199
197	0.2083013185
198	0.2082595973
199	0.2082111325
200	0.2080957868
201	0.2079901617
202	0.2078982318
203	0.2078766835
204	0.2077644893
205	0.2077318697
206	0.2076435271
207	0.2076009278
208	0.207516951
209	0.2074088126
210	0.2073042829
211	0.2071923194
212	0.2071443052
213	0.2070902475
214	0.2069869799
215	0.2068984545
216	0.2068628781
217	0.2067863261
218	0.2066556816
219	0.2065474973
220	0.2064805024
221	0.2064016084
222	0.2062665383
223	0.2061803704
224	0.2061197611
225	0.2060203044
226	0.2059909828
227	0.2059221317
228	0.2058689734
229	0.2057542458
230	0.2056957832
231	0.2056045214
232	0.2055110119
233	0.205457531
234	0.2053789886
235	0.2053055177
236	0.2052712551
237	0.2051486846
238	0.2050380589
239	0.2049868058
240	0.204906216
241	0.204849611
242	0.2047910349
243	0.2047553021
244	0.2046378979
245	0.2045797432
246	0.204508025
247	0.2044439843
248	0.2043706466
249	0.2042830061
250	0.2041936397
251	0.2041336709
252	0.2040297722
253	0.2039507047
254	0.2039120738
255	0.203859905
256	0.2037980873
257	0.2037703192
258	0.2036734651
259	0.2036368122
260	0.2035948423
261	0.203533769
262	0.2034801206
263	0.2034424334
264	0.2034029704
265	0.2033550895
266	0.2033058412
267	0.2032607886
268	0.2031690785
269	0.2030917106
270	0.2030357974
271	0.2029723003
272	0.2028845271
273	0.2028369983
274	0.2027721455
275	0.2027472099
276	0.2026934308
277	0.2026363838
278	0.2025918096
279	0.202499265
280	0.2024292764
281	0.2023422037
282	0.2022742907
283	0.2022327953
284	0.202161731
285	0.2021109865
286	0.2020424768
287	0.2019516489
288	0.2019117447
289	0.2018663553
290	0.2017866028
291	0.2017357042
292	0.2016855177
293	0.2016021302
294	0.2015402312
295	0.2015008192
296	0.2014320129
297	0.2013873085
298	0.2013137442
299	0.2012651746
300	0.2012102485
301	0.2011844168
302	0.2011664148
303	0.2010951241
304	0.2010618951
305	0.2009810155
306	0.200946672
307	0.2008962452
308	0.2008418853
309	0.2007947776
310	0.200745919
311	0.2007074982
312	0.2006382771
313	0.2005912381
314	0.2005367312
315	0.2004972895
316	0.2004327145
317	0.2003975107
318	0.2003426766
319	0.2002906943
320	0.2002117169
321	0.2001520693
322	0.2000832276
323	0.200016675
324	0.1999802287
325	0.1999327454
326	0.1998770425
327	0.1998380745
328	0.1997896167
329	0.1997241563
330	0.1997055762
331	0.1996482496
332	0.1995861423
333	0.1995443258
334	0.1995020089
335	0.1994561531
336	0.1994042511
337	0.1993475186
338	0.1992949643
339	0.1992417073
340	0.1992029005
341	0.1991680729
342	0.1991098516
343	0.199039608
344	0.1989710831
345	0.1989059149
346	0.1988622411
347	0.1987869702
348	0.1987584711
349	0.1987172316
350	0.198698424
351	0.1986534966
352	0.1986114521
353	0.1985521879
354	0.1985122555
355	0.1984498494
356	0.1984014307
357	0.1983530912
358	0.1983358824
359	0.198276946
360	0.1982313493
361	0.1981764242
362	0.1981392873
363	0.1980785803
364	0.1980320293
365	0.1980013801
366	0.1979689436
367	0.1979099965
368	0.1978758651
369	0.1978085739
370	0.1977457982
371	0.1977025848
372	0.1976737353
373	0.1976149875
374	0.1975640385
375	0.1975205049
376	0.1974529247
377	0.1974145837
378	0.1973839815
379	0.1973628957
380	0.1973382615
381	0.1973085163
382	0.1972622386
383	0.1972313746
384	0.1971920936
385	0.1971420758
386	0.1971000884
387	0.197039724
388	0.1969878077
389	0.1969472601
390	0.1968832861
391	0.1968756303
392	0.1968396383
393	0.1967990332
394	0.1967755522
395	0.1967220905
396	0.1966761974
397	0.1966230787
398	0.1965710386
399	0.1965485522
400	0.1965006035
401	0.1964542595
402	0.196407703
403	0.196369655
404	0.1963182297
405	0.1962832671
406	0.1962306588
407	0.1961884883
408	0.1961597704
409	0.1961234071
410	0.1961075987
411	0.1960621961
412	0.1960252261
413	0.1960233806
414	0.1959973269
415	0.1959479394
416	0.1959009077
417	0.195899349
418	0.1958480476
419	0.1958001581
420	0.195752405
421	0.1956847779
422	0.1956526958
423	0.1956168856
424	0.1955636027
425	0.1955286974
426	0.1954670165
427	0.1954215275
428	0.1953761151
429	0.1953233539
430	0.1952808567
431	0.1952516404
432	0.1952054854
433	0.1952039286
434	0.1951628481
435	0.195106246
436	0.1950508928
437	0.1950141953
438	0.1949828809
439	0.1949221283
440	0.1948830784
441	0.1948316469
442	0.1948094748
443	0.1947562281
444	0.1947548122
445	0.1947117557
446	0.1946727586
447	0.1946287604
448	0.1945894069
449	0.1945618001
450	0.1945321732
451	0.194531059
452	0.194496492
453	0.1944503645
454	0.1943892985
455	0.1943292104
456	0.1942932033
457	0.1942584992
458	0.1942307829
459	0.194210273
460	0.1941750934
461	0.1941345477
462	0.1940978373
463	0.194055051
464	0.194052221
465	0.1940072609
466	0.1939829043
467	0.1939473502
468	0.1938942564
469	0.1938734799
470	0.1938525937
471	0.193810777
472	0.1938089998
473	0.1937870304
474	0.1937486609
475	0.1937226009
476	0.1936852418
477	0.193643046
478	0.1936171694
479	0.1935764939
480	0.1935436908
481	0.1935208885
482	0.1934067973
483	0.1933374695
484	0.1932945468
485	0.1932506796
486	0.1932189658
487	0.1932030239
488	0.1931758231
489	0.1931398749
490	0.1930954255
491	0.1930473326
492	0.1929860482
493	0.19296044
494	0.1929252129
495	0.1929025377
496	0.1928868392
497	0.1928397922
498	0.1928188354
499	0.1928051183
500	0.192773425
501	0.1927407613
502	0.1927018161
503	0.1926748593
504	0.192633084
505	0.1926088069
506	0.1925888925
507	0.1925461166
508	0.1925169965
509	0.1924940211
510	0.1924595736
511	0.1924289698
512	0.192412779
513	0.1923715568
514	0.1923247905
515	0.192306185
516	0.1922133592
517	0.1921891455
518	0.1921577675
519	0.1921373916
520	0.1921046375
521	0.192073911
522	0.1920525593
523	0.1920185231
524	0.1919944832
525	0.1919582059
526	0.1919282815
527	0.1918992617
528	0.1918442503
529	0.1918124282
530	0.1917870153
531	0.1917365
532	0.1917295627
533	0.191683561
534	0.1916401878
535	0.1916032623
536	0.1915825575
537	0.1915363156
538	0.1914967619
539	0.1914663453
540	0.1914404901
541	0.1913950695
542	0.1913575694
543	0.1913179338
544	0.1912736039
545	0.1912368366
546	0.1912113118
547	0.1912028125
548	0.1911899118
549	0.1911704357
550	0.1911465821
551	0.1911288419
552	0.1911035343
553	0.1910878148
554	0.191051639
555	0.1910313951
556	0.1909993019
557	0.1909668974
558	0.1909266979
559	0.1908605173
560	0.1908206835
561	0.1908055831
562	0.190757895
563	0.1907327638
564	0.1907029925
565	0.1906865227
566	0.1906484111
567	0.1906169168
568	0.190607997
569	0.1905785151
570	0.1905540685
571	0.1905007981
572	0.190471311
573	0.19045083
574	0.1903919948
575	0.1903869857
576	0.190349873
577	0.1903152947
578	0.1902468247
579	0.1901982298
580	0.1901728281
581	0.1901520669
582	0.1901231502
583	0.1900897751
584	0.190073397
585	0.1900485287
586	0.1900140726
587	0.1899752277
588	0.1899113273
589	0.1898982713
590	0.1898930697
591	0.189876859
592	0.1898442803
593	0.1897945833
594	0.189757394
595	0.1897238199
596	0.1896900054
597	0.1896518624
598	0.189631022
599	0.1895825196
600	0.1895473975
601	0.1895247169
602	0.1895236793
603	0.189491543
604	0.1894649785
605	0.1894394337
606	0.1894085583
607	0.1893831931
608	0.1893593992
609	0.1893402094
610	0.1893013629
611	0.1892862823
612	0.1892624338
613	0.1892397468
614	0.1891919013
615	0.1891509719
616	0.1891390104
617	0.1891035043
618	0.1890885995
619	0.1890703616
620	0.1890632765
621	0.1889904695
622	0.1889716886
623	0.188946909
624	0.1889239988
625	0.1888998278
626	0.1888649767
627	0.188827607
628	0.1887965949
629	0.1887824713
630	0.1887479463
631	0.1887367616
632	0.1887024495
633	0.1886896271
634	0.1886651831
635	0.1886456691
636	0.1886234268
637	0.188609541
638	0.1885901849
639	0.1885554618
640	0.1885228701
641	0.1884920193
642	0.1884523939
643	0.188435111
644	0.1884193328
645	0.1884041762
646	0.1883868318
647	0.18834358
648	0.1883206972
649	0.1882923958
650	0.1882686445
651	0.1882369612
652	0.1882176389
653	0.1881863794
654	0.1881821214
655	0.1881549403
656	0.1881275607
657	0.1881007057
658	0.1880870687
659	0.1880658271
660	0.1880360267
661	0.1880198036
662	0.1879921708
663	0.1879600204
664	0.1879506686
665	0.1879214451
666	0.1878891017
667	0.1878686907
668	0.187831147
669	0.1878034376
670	0.1877672337
671	0.1877591096
672	0.187700049
673	0.1876907338
674	0.1876632205
675	0.1876484127
676	0.187645363
677	0.187626911
678	0.1876081209
679	0.1875843283
680	0.1875098629
681	0.1874662517
682	0.1874303763
683	0.1873817605
684	0.1873270381
685	0.1873080295
686	0.1872809556
687	0.1872635846
688	0.1872375227
689	0.1872245765
690	0.1872234443
691	0.1871903789
692	0.1871522089
693	0.1871249004
694	0.1870891686
695	0.1870727347
696	0.1870428895
697	0.1870328827
698	0.1870199558
699	0.1870027622
700	0.1869764371
701	0.1869569731
702	0.186929395
703	0.1869284611
704	0.1868786581
705	0.1868615645
706	0.1868213111
707	0.1867783885
708	0.18674339
709	0.1867118556
710	0.186683265
711	0.1866497641
712	0.1866198811
713	0.1865949498
714	0.1865760741
715	0.1865695655
716	0.1865549574
717	0.1865202114
718	0.1864777781
719	0.1864616764
720	0.1864422729
721	0.1864018405
722	0.1863853499
723	0.186359955
724	0.1863420172
725	0.1863217988
726	0.1863081062
727	0.186287784
728	0.1862687167
729	0.1862428242
730	0.1862073719
731	0.1861960543
732	0.1861709613
733	0.1861365832
734	0.1861059419
735	0.1861049554
736	0.186087467
737	0.1860639396
738	0.1860536006
739	0.1860383437
740	0.1860180108
741	0.1859906642
742	0.1859674813
743	0.1859412225
744	0.1859088897
745	0.1858917098
746	0.1858491671
747	0.1858261188
748	0.1858233656
749	0.1858126293
750	0.1857905669
751	0.1857736027
752	0.1857589455
753	0.1857303006
754	0.1857077069
755	0.1856768625
756	0.1856601148
757	0.185631883
758	0.1855861053
759	0.1855583123
760	0.1855321106
761	0.1855035583
762	0.185496376
763	0.185462735
764	0.185420682
765	0.1853879578
766	0.1853745854
767	0.1853680714
768	0.1853449202
769	0.1853200255
770	0.1852906234
771	0.1852561043
772	0.1852324199
773	0.1852039863
774	0.1851807064
775	0.185173896
776	0.1851464993
777	0.1851304478
778	0.1850946481
779	0.1850577909
780	0.1850311387
781	0.1850041784
782	0.1849726719
783	0.1849572181
784	0.1849355637
785	0.1849115171
786	0.1848933129
787	0.1848810675
788	0.1848764113
789	0.1848687001
790	0.1848343182
791	0.1848116319
792	0.1847859446
793	0.1847693138
794	0.1847365289
795	0.1846923129
796	0.1846559613
797	0.1846420374
798	0.1846169438
799	0.1846079274
800	0.1846051348
801	0.18458041
802	0.1845696753
803	0.1845267792
804	0.1845154744
805	0.1844883997
806	0.184458804
807	0.1844159467
808	0.1843972858
809	0.1843701347
810	0.184338093
811	0.1843076824
812	0.1842957979
813	0.1842835959
814	0.1842596873
815	0.1842376832
816	0.1842260197
817	0.1842089302
818	0.1841734021
819	0.1841633305
820	0.1841390636
821	0.1841077566
822	0.1840918944
823	0.1840460317
824	0.1840352779
825	0.1840209447
826	0.1839893876
827	0.1839639299
828	0.183938667
829	0.1839007307
830	0.1838851683
831	0.1838616175
832	0.183838269
833	0.1838262243
834	0.1838062905
835	0.1837924789
836	0.1837637149
837	0.1837320203
838	0.1836912872
839	0.1836726201
840	0.1836542341
841	0.1836345045
842	0.1836071681
843	0.1835998581
844	0.1835785559
845	0.1835592325
846	0.1835228279
847	0.183496598
848	0.1834747627
849	0.1834544754
850	0.1834375186
851	0.1834168779
852	0.1834017663
853	0.1833987004
854	0.1833772524
855	0.183367953
856	0.1833547817
857	0.183333457
858	0.1833026392
859	0.1832674514
860	0.1832580809
861	0.1832400668
862	0.1832208399
863	0.1832068543
864	0.1831964993
865	0.1831667117
866	0.1831428775
867	0.1831135944
868	0.1830795564
869	0.1830629223
870	0.1830439031
871	0.1830298424
872	0.18299649
873	0.1829619806
874	0.1829384182
875	0.1829249353
876	0.1829132118
877	0.1828966477
878	0.1828802695
879	0.1828735675
880	0.1828493316
881	0.1828484056
882	0.1828244473
883	0.1828020003
884	0.1827749857
885	0.1827369222
886	0.1827061472
887	0.1826822228
888	0.182657957
889	0.1826303834
890	0.182599214
891	0.1825892853
892	0.182551707
893	0.1825347781
894	0.1825003344
895	0.1824937148
896	0.1824826569
897	0.1824530918
898	0.1824390048
899	0.1824266042
900	0.1824029478
901	0.1823682735
902	0.1823606275
903	0.1823582947
904	0.1823461974
905	0.1823159198
906	0.1823046042
907	0.1822844874
908	0.1822466905
909	0.1822250188
910	0.1821963304
911	0.1821655382
912	0.182149274
913	0.1821203312
914	0.1820902782
915	0.1820818705
916	0.1820454498
917	0.1820302799
918	0.182004587
919	0.1819850099
920	0.181967599
921	0.1819452918
922	0.1819294248
923	0.1819175773
924	0.1819072592
925	0.1818894244
926	0.1818569912
927	0.1818290832
928	0.1818131168
929	0.1817920875
930	0.1817636247
931	0.1817615895
932	0.1817440362
933	0.1817274081
934	0.1816979152
935	0.1816817337
936	0.18165335
937	0.1816371199
938	0.1816068669
939	0.1815760394
940	0.1815457708
941	0.1815190145
942	0.1815017809
943	0.1814752447
944	0.1814692989
945	0.1814520826
946	0.1814347106
947	0.181423415
948	0.1814075077
949	0.181387219
950	0.181353188
951	0.1813384128
952	0.1813378208
953	0.1813262153
954	0.1812979774
955	0.1812911111
956	0.1812829188
957	0.1812765345
958	0.1812517418
959	0.1812314959
960	0.1812128399
961	0.1811930337
962	0.1811889948
963	0.1811710225
964	0.1811565041
965	0.1811263754
966	0.1811100655
967	0.1810827688
968	0.181072761
969	0.1810574808
970	0.1810542841
971	0.1810302264
972	0.1810052078
973	0.1809938885
974	0.1809894628
975	0.1809682682
976	0.1809435974
977	0.1809327564
978	0.180914068
979	0.1808931065
980	0.180892372
981	0.1808709736
982	0.180850286
983	0.1808389616
984	0.1808232679
985	0.1808031341
986	0.1807709235
987	0.180749719
988	0.1807237563
989	0.1807090035
990	0.18068828
991	0.1806695058
992	0.1806502577
993	0.1806281742
994	0.1806006169
995	0.1805789132
996	0.1805457718
997	0.1805447654
998	0.1805142051
999	0.1804992216
1000	0.1804967045
1001	0.180473867
1002	0.1804504847
1003	0.1804352499
1004	0.1804176406
1005	0.1804052745
1006	0.1803849869
1007	0.1803559162
1008	0.1803375512
1009	0.1803281066
1010	0.1803090547
1011	0.1802615628
1012	0.1802425926
1013	0.1802096777
1014	0.1801969227
1015	0.1801731509
1016	0.1801617471
1017	0.1801425849
1018	0.1801175683
1019	0.1801001377
1020	0.1800686279
1021	0.1800618894
1022	0.1800420834
1023	0.1800226851
1024	0.1799871642
1025	0.1799767785
1026	0.179928626
1027	0.1799060301
1028	0.1798778004
1029	0.1798580449
1030	0.1798501676
1031	0.1798189044
1032	0.1798064371
1033	0.1797782424
1034	0.1797453273
1035	0.1797373646
1036	0.1797192121
1037	0.1796980901
1038	0.1796750854
1039	0.179649365
1040	0.1796379162
1041	0.1796206319
1042	0.1795898565
1043	0.1795696774
1044	0.179545654
1045	0.1795289587
1046	0.1795221597
1047	0.1795145367
1048	0.1795065487
1049	0.1794874309
1050	0.1794553737
1051	0.1794417311
1052	0.1794180624
1053	0.1793964828
1054	0.1793840202
1055	0.1793733084
1056	0.1793530917
1057	0.179340762
1058	0.1793184354
1059	0.1793051161
1060	0.1792870408
1061	0.1792649893
1062	0.1792517753
1063	0.1792415476
1064	0.1792136886
1065	0.1791869443
1066	0.179175368
1067	0.1791667433
1068	0.1791460289
1069	0.1791325684
1070	0.1791066007
1071	0.1790789464
1072	0.1790646715
1073	0.1790450451
1074	0.1790413491
1075	0.1790277624
1076	0.1790076849
1077	0.1789971487
1078	0.1789744342
1079	0.1789664837
1080	0.1789550908
1081	0.1789269891
1082	0.1789149372
1083	0.1788918013
1084	0.1788753099
1085	0.1788514558
1086	0.178827814
1087	0.1788145418
1088	0.178794033
1089	0.1787754386
1090	0.1787455102
1091	0.1787273234
1092	0.178708187
1093	0.1786770098
1094	0.1786651845
1095	0.1786596312
1096	0.1786585735
1097	0.1786349843
1098	0.1786176569
1099	0.1786027497
1100	0.1785845503
1101	0.1785612526
1102	0.1785570132
1103	0.1785491828
1104	0.1785418887
1105	0.1785278085
1106	0.1785199107
1107	0.1785098495
1108	0.1784895702
1109	0.1784572351
1110	0.1784283387
1111	0.1784104414
1112	0.178382606
1113	0.1783484448
1114	0.1783279453
1115	0.1783063915
1116	0.178276743
1117	0.1782528951
1118	0.1782456425
1119	0.1782319683
1120	0.1782255427
1121	0.1782187366
1122	0.1781957
1123	0.1781764617
1124	0.1781600268
1125	0.1781430544
1126	0.1781344313
1127	0.1781224579
1128	0.1780954658
1129	0.1780905181
1130	0.1780766444
1131	0.1780585233
1132	0.1780449328
1133	0.1780180363
1134	0.1780031278
1135	0.1779754077
1136	0.1779644193
1137	0.1779495314
1138	0.1779300945
1139	0.1779052053
1140	0.1778798154
1141	0.17785381
1142	0.1778294095
1143	0.1778178679
1144	0.1778034952
1145	0.1777801038
1146	0.1777617625
1147	0.1777493425
1148	0.1777362511
1149	0.1777101674
1150	0.1776977936
1151	0.1776426121
1152	0.1776244284
1153	0.1775907931
1154	0.1775623587
1155	0.1775392765
1156	0.1775072239
1157	0.1774791458
1158	0.1774543671
1159	0.1774438555
1160	0.1774235661
1161	0.1774012226
1162	0.1773819359
1163	0.177364141
1164	0.1773504397
1165	0.1773378234
1166	0.1773187314
1167	0.1772947563
1168	0.1772754218
1169	0.1772611703
1170	0.1772451005
1171	0.1772382985
1172	0.1772313801
1173	0.1772111216
1174	0.177203409
1175	0.1771800272
1176	0.1771550232
1177	0.1771342136
1178	0.1771130121
1179	0.1771035501
1180	0.1770885238
