iter	Passed	Remaining
0	222	443804
1	272	272141
2	329	219419
3	391	195394
4	442	176541
5	495	164732
6	549	156552
7	603	150247
8	647	143275
9	694	138241
10	739	133705
11	786	130359
12	828	126624
13	868	123251
14	913	120876
15	963	119530
16	1012	118088
17	1061	116879
18	1110	115763
19	1197	118595
20	1248	117649
21	1294	116383
22	1343	115442
23	1390	114448
24	1436	113451
25	1479	112302
26	1522	111246
27	1567	110403
28	1608	109290
29	1648	108239
30	1691	107452
31	1739	107000
32	1788	106603
33	1834	106084
34	1883	105753
35	1933	105476
36	1979	105001
37	2016	104099
38	2058	103483
39	2099	102880
40	2138	102189
41	2179	101617
42	2219	101004
43	2257	100345
44	2299	99897
45	2343	99536
46	2385	99127
47	2431	98894
48	2477	98649
49	2528	98604
50	2570	98235
51	2615	97983
52	2659	97695
53	2698	97236
54	2737	96808
55	2780	96516
56	2825	96321
57	2868	96048
58	2913	95845
59	2961	95768
60	3031	96347
61	3114	97356
62	3230	99336
63	3322	100509
64	3456	102912
65	3550	104042
66	3688	106424
67	3786	107593
68	3890	108867
69	3971	109506
70	4065	110468
71	4175	111805
72	4263	112547
73	4379	113994
74	4482	115055
75	4606	116608
76	4741	118404
77	4845	119393
78	4916	119541
79	5001	120046
80	5126	121456
81	5226	122255
82	5320	122891
83	5409	123387
84	5491	123726
85	5589	124392
86	5700	125337
87	5794	125899
88	5908	126867
89	6098	129431
90	6187	129793
91	6267	129975
92	6372	130664
93	6536	132535
94	6665	133657
95	6809	135062
96	6903	135444
97	6984	135552
98	7080	135951
99	7187	136559
100	7277	136826
101	7352	136805
102	7409	136468
103	7479	136350
104	7541	136100
105	7612	136022
106	7682	135908
107	7744	135672
108	7806	135436
109	7861	135078
110	7917	134735
111	7968	134322
112	8045	134360
113	8104	134077
114	8165	133837
115	8217	133456
116	8262	132984
117	8317	132654
118	8377	132424
119	8430	132077
120	8501	132014
121	8571	131946
122	8655	132083
123	8747	132343
124	8806	132093
125	8878	132054
126	8930	131702
127	8977	131295
128	9030	130971
129	9086	130709
130	9139	130391
131	9189	130043
132	9241	129731
133	9293	129412
134	9347	129130
135	9393	128746
136	9443	128413
137	9494	128108
138	9542	127764
139	9594	127472
140	9650	127236
141	9733	127364
142	9823	127571
143	9895	127538
144	9943	127204
145	10000	126989
146	10077	127034
147	10138	126868
148	10188	126565
149	10234	126221
150	10280	125880
151	10327	125557
152	10376	125265
153	10418	124892
154	10471	124646
155	10516	124311
156	10571	124099
157	10636	124003
158	10696	123853
159	10750	123636
160	10808	123458
161	10877	123411
162	10944	123348
163	11030	123482
164	11090	123340
165	11156	123263
166	11225	123212
167	11286	123081
168	11341	122879
169	11393	122644
170	11447	122441
171	11494	122166
172	11545	121929
173	11595	121683
174	11652	121514
175	11701	121274
176	11764	121164
177	11814	120932
178	11864	120704
179	11924	120569
180	11975	120351
181	12021	120082
182	12067	119814
183	12113	119557
184	12159	119296
185	12206	119044
186	12259	118856
187	12308	118632
188	12357	118407
189	12399	118125
190	12448	117897
191	12500	117712
192	12548	117492
193	12590	117210
194	12631	116922
195	12676	116679
196	12720	116423
197	12759	116126
198	12796	115807
199	12833	115498
200	12871	115200
201	12913	114939
202	12948	114627
203	12989	114362
204	13032	114111
205	13071	113837
206	13115	113604
207	13150	113292
208	13191	113039
209	13231	112782
210	13274	112551
211	13314	112293
212	13355	112044
213	13393	111780
214	13435	111544
215	13478	111325
216	13522	111105
217	13562	110866
218	13603	110631
219	13643	110387
220	13683	110147
221	13722	109903
222	13765	109689
223	13806	109462
224	13846	109235
225	13886	109004
226	13928	108787
227	13972	108592
228	14014	108384
229	14053	108148
230	14093	107929
231	14138	107742
232	14178	107521
233	14215	107281
234	14256	107078
235	14298	106872
236	14338	106659
237	14378	106451
238	14421	106257
239	14461	106054
240	14502	105849
241	14540	105631
242	14583	105443
243	14622	105233
244	14662	105034
245	14705	104852
246	14747	104665
247	14786	104456
248	14826	104260
249	14866	104067
250	14906	103870
251	14948	103688
252	14983	103465
253	15027	103301
254	15063	103084
255	15101	102880
256	15138	102670
257	15176	102468
258	15211	102252
259	15247	102039
260	15286	101850
261	15326	101669
262	15366	101487
263	15407	101319
264	15450	101154
265	15490	100976
266	15530	100806
267	15566	100604
268	15609	100443
269	15649	100272
270	15689	100101
271	15735	99963
272	15777	99806
273	15816	99631
274	15857	99470
275	15895	99289
276	15938	99138
277	15979	98980
278	16021	98826
279	16062	98667
280	16101	98497
281	16140	98333
282	16176	98142
283	16215	97980
284	16258	97833
285	16297	97669
286	16337	97515
287	16379	97369
288	16418	97202
289	16452	97013
290	16493	96863
291	16534	96713
292	16575	96568
293	16618	96429
294	16656	96268
295	16697	96120
296	16739	95987
297	16779	95835
298	16819	95683
299	16855	95513
300	16892	95347
301	16928	95182
302	16969	95041
303	17013	94916
304	17055	94785
305	17095	94640
306	17135	94497
307	17174	94345
308	17215	94212
309	17254	94067
310	17285	93875
311	17331	93765
312	17372	93634
313	17410	93483
314	17450	93347
315	17485	93184
316	17522	93031
317	17560	92883
318	17600	92745
319	17640	92612
320	17685	92503
321	17728	92388
322	17770	92264
323	17811	92137
324	17854	92021
325	17893	91883
326	17949	91832
327	18006	91786
328	18056	91709
329	18105	91627
330	18150	91520
331	18191	91394
332	18231	91266
333	18270	91135
334	18310	91005
335	18363	90941
336	18400	90802
337	18443	90689
338	18482	90556
339	18524	90442
340	18562	90309
341	18604	90195
342	18644	90068
343	18678	89916
344	18731	89858
345	18765	89705
346	18811	89611
347	18860	89534
348	18901	89418
349	18939	89288
350	18979	89163
351	19021	89055
352	19056	88911
353	19096	88792
354	19138	88685
355	19181	88579
356	19221	88461
357	19263	88353
358	19304	88242
359	19346	88133
360	19382	88000
361	19425	87898
362	19467	87789
363	19506	87671
364	19548	87565
365	19585	87440
366	19625	87326
367	19669	87229
368	19708	87110
369	19752	87015
370	19792	86906
371	19832	86795
372	19872	86681
373	19912	86573
374	19955	86473
375	20001	86390
376	20043	86288
377	20082	86176
378	20120	86054
379	20159	85944
380	20199	85833
381	20236	85715
382	20275	85602
383	20313	85487
384	20358	85398
385	20398	85292
386	20438	85186
387	20477	85077
388	20524	85001
389	20567	84906
