club_id,Season,W,D,L,Points,Goales_scored,Goales_conceded
1032,2022,13,5,15,44,38,48
1032,2021,13,8,25,41,54,87
1032,2020,19,13,14,70,62,54
1032,2019,15,11,20,56,59,58
1032,2018,10,17,19,47,49,66
1032,2017,10,14,22,44,48,70
1032,2016,26,7,13,85,68,64
1032,2015,13,13,20,52,52,59
1032,2014,13,11,22,50,48,69
1032,2013,19,14,13,71,70,56
1032,2012,6,10,22,28,43,73
1032,2011,27,8,11,89,69,41
1032,2010,20,17,9,77,77,51
1032,2009,17,12,17,63,68,63
1032,2008,21,14,11,77,72,40
1032,2007,10,6,22,36,41,66
1032,2006,16,7,14,55,50,44
1032,2005,31,13,2,106,99,32
1032,2004,19,13,14,70,51,44
1032,2003,20,10,16,70,55,57
1032,2002,25,4,17,79,61,46
2323,2016,7,8,19,20,36,65
2323,2015,5,9,20,15,28,59
2323,2014,3,2,29,11,19,90
2323,2013,21,8,7,71,57,30
2323,2012,6,11,17,29,35,51
2323,2011,10,12,12,42,28,34
2323,2010,14,12,6,54,47,29
2323,2009,11,11,12,44,33,32
2323,2008,13,6,15,45,48,44
2323,2007,12,14,8,50,39,44
2323,2006,14,7,13,49,50,43
2323,2005,14,12,8,54,49,41
1387,2022,10,12,7,42,29,27
1387,2021,10,14,14,44,40,41
1387,2020,15,8,11,53,48,40
1387,2019,10,10,7,56,32,30
1387,2018,16,15,6,63,57,40
1387,2017,20,7,9,67,41,30
1387,2016,13,6,19,45,45,49
1387,2015,11,13,10,46,34,38
1387,2014,21,9,4,72,63,30
1387,2013,18,15,9,61,57,41
1387,2012,9,9,20,30,36,57
1387,2011,11,11,16,44,45,45
1387,2010,21,14,7,77,67,35
1387,2009,7,10,21,31,40,67
1387,2008,12,8,18,44,33,44
1387,2007,9,17,12,44,40,45
1387,2006,9,14,15,40,35,45
1387,2005,9,12,17,39,42,60
1387,2004,9,16,13,43,44,55
1387,2003,8,10,16,34,41,54
1387,2002,17,16,5,67,46,26
1387,2001,12,11,15,47,35,44
