player_id,Season,Days
10,2012,68
10,2013,105
10,2014,2
10,2015,84
26,2010,4
26,2011,11
26,2012,7
26,2013,11
26,2014,36
26,2015,6
26,2017,4
65,2008,17
65,2009,12
65,2012,23
65,2013,4
65,2014,53
65,2015,119
65,2017,22
77,2007,17
77,2008,12
77,2010,25
77,2011,3
77,2012,32
80,2007,19
80,2008,35
80,2009,13
80,2010,56
80,2012,13
80,2013,87
80,2014,133
109,2008,192
109,2009,107
109,2010,39
109,2012,15
109,2013,157
123,2007,94
123,2008,15
123,2009,47
123,2010,4
123,2011,114
123,2012,130
132,2009,49
132,2011,158
132,2012,24
132,2013,21
132,2014,21
132,2015,304
132,2016,256
132,2017,34
162,2007,26
162,2008,9
162,2010,393
162,2011,52
162,2012,60
215,2005,158
215,2008,55
215,2009,233
215,2011,17
215,2012,8
215,2013,45
215,2015,165
258,2005,58
258,2006,167
258,2009,4
258,2010,33
258,2011,14
258,2012,7
264,2008,4
264,2009,103
264,2010,54
264,2011,5
264,2012,47
264,2013,109
277,2009,47
277,2011,25
277,2012,14
277,2014,480
325,2008,28
325,2012,263
332,2008,167
332,2010,11
332,2014,329
332,2015,18
332,2016,364
410,2011,9
410,2012,76
410,2013,73
410,2014,69
411,2007,60
411,2008,25
411,2009,4
411,2010,7
411,2013,29
447,2008,93
447,2010,65
532,2014,17
532,2015,21
532,2016,101
532,2017,39
532,2018,21
532,2019,40
557,2010,6
557,2011,61
557,2012,167
568,2014,115
568,2015,315
597,2008,39
597,2009,57
597,2010,227
597,2011,18
597,2015,34
597,2016,35
597,2018,29
598,2008,48
598,2009,28
598,2010,5
598,2011,47
598,2012,37
598,2013,14
643,2007,7
643,2008,41
643,2009,419
643,2010,31
670,2008,156
670,2009,34
690,2006,295
690,2007,27
690,2008,22
690,2009,19
690,2010,16
690,2012,105
691,2009,214
691,2011,37
691,2012,7
691,2014,71
735,2011,3
735,2013,13
755,2004,98
755,2007,217
755,2011,31
755,2012,8
755,2013,67
773,2007,3
773,2010,27
773,2012,11
823,2007,17
823,2008,52
823,2009,38
823,2011,87
823,2013,10
823,2014,14
831,2007,56
831,2011,200
831,2012,84
886,2012,71
892,2007,395
892,2009,24
892,2010,166
892,2012,61
892,2013,69
933,2005,250
933,2012,30
933,2014,28
992,2012,62
1073,2008,37
1073,2009,11
1073,2010,46
1075,2007,62
1075,2008,9
1075,2009,37
1075,2011,20
1075,2012,53
1083,2008,24
1094,2007,118
1094,2008,100
1094,2009,20
1094,2010,23
1094,2011,9
1094,2013,37
1094,2015,15
1094,2017,22
1094,2019,35
1095,2008,3
1095,2009,34
1095,2010,23
1095,2011,146
1095,2012,19
1095,2014,334
1095,2015,82
1116,2008,102
1116,2013,12
1122,2008,7
1122,2009,34
1126,2007,7
1126,2008,3
1126,2011,4
1126,2012,38
1126,2014,4
1126,2015,3
1126,2016,112
1126,2017,80
1126,2018,53
1139,2008,46
1139,2009,12
1139,2011,13
1139,2014,88
1144,2011,5
1144,2012,6
1144,2013,3
1150,2007,4
1150,2009,3
1150,2010,24
1150,2011,77
1150,2012,20
1150,2013,4
1150,2015,171
1150,2016,30
1161,2000,78
1161,2005,69
1161,2010,13
1161,2011,11
1161,2012,189
1197,2009,88
1197,2010,11
1197,2011,152
1257,2011,3
1257,2013,19
1257,2019,14
1277,2012,70
1277,2013,84
1277,2014,34
1277,2015,25
1277,2016,129
1321,2007,12
1321,2008,9
1321,2009,288
1321,2010,7
1321,2012,24
1321,2013,27
1321,2014,103
1321,2016,166
1323,2008,15
1323,2012,225
1327,2012,61
1327,2013,97
1331,2007,42
1331,2008,9
1331,2012,11
1331,2014,2
1331,2015,31
1335,2005,21
1335,2008,147
1335,2009,36
1335,2011,35
1335,2012,173
1335,2013,62
1335,2099,172
1363,2007,154
1363,2009,5
1363,2014,54
1368,2007,3
1368,2008,53
1368,2009,18
1368,2010,6
1368,2012,35
1368,2014,82
1368,2015,32
1381,2007,18
1381,2008,173
1381,2009,4
1381,2010,84
1381,2011,222
1381,2012,101
1381,2013,280
1397,2006,308
1397,2007,46
1397,2008,126
1397,2009,168
1397,2010,91
1397,2011,129
1423,2007,144
1423,2008,140
1423,2009,24
1423,2010,66
1426,2007,58
1426,2008,37
1426,2009,59
1426,2010,106
1426,2012,219
1426,2013,49
1426,2015,39
1428,2007,3
1428,2008,8
1428,2009,80
1428,2010,7
1428,2011,7
1428,2012,25
1428,2013,79
1443,2008,23
1443,2009,51
1443,2012,16
1474,2004,167
1474,2007,23
1474,2008,28
1474,2009,20
1474,2010,20
1474,2011,11
1474,2012,35
1496,2007,4
1496,2008,12
1496,2009,38
1496,2010,61
1496,2011,39
1496,2013,87
1496,2014,16
1532,2007,86
1532,2008,28
1560,2010,25
1560,2011,39
1560,2012,21
1565,2013,83
1565,2014,133
1565,2015,86
1565,2016,66
1565,2017,406
1568,2008,15
1568,2009,17
1568,2010,33
1568,2011,21
1568,2012,64
1568,2013,49
1572,2007,6
1572,2008,275
1572,2009,10
1572,2011,94
1572,2012,67
1573,2007,14
1573,2009,28
1573,2010,183
1573,2011,192
1586,2013,3
1586,2014,41
1586,2015,34
1586,2016,12
1586,2017,22
1586,2019,47
1606,2012,50
1606,2013,451
1659,2008,48
1659,2010,15
1659,2012,86
1659,2013,82
1659,2014,130
1662,2008,17
1662,2014,52
1662,2017,5
1662,2018,24
1667,2014,51
1667,2015,84
1667,2016,39
1667,2017,97
1667,2018,21
1667,2019,55
1684,2007,10
1684,2008,10
1684,2009,9
1684,2010,29
1684,2011,17
1684,2012,38
1684,2014,71
1716,2006,174
1716,2007,90
1716,2008,196
1716,2009,95
1716,2010,227
1725,2009,62
1725,2010,48
1725,2011,101
1725,2012,32
1726,2008,4
1726,2009,52
1726,2010,49
1726,2013,53
1726,2014,48
1726,2015,70
1726,2017,201
1743,2011,64
1743,2013,31
1772,2008,38
1772,2009,20
1772,2010,43
1772,2011,30
1772,2012,7
1772,2014,1
1784,2014,66
1784,2015,28
1784,2016,140
1784,2017,548
1791,2007,23
1791,2011,15
1791,2012,7
1791,2014,52
1792,2009,18
1792,2010,143
1792,2013,200
1792,2014,31
1792,2015,263
1792,2016,8
1792,2017,2
1841,2009,28
1841,2010,121
1896,2014,38
1986,2008,7
1986,2009,95
1986,2012,11
1986,2013,148
1986,2014,7
1986,2015,32
2050,2008,33
2050,2009,11
2050,2014,209
2050,2015,2
2050,2020,201
2148,2008,89
2148,2011,25
2148,2014,23
2148,2016,22
2150,2008,46
2150,2009,95
2150,2010,29
2150,2011,7
2150,2013,11
2150,2014,145
2150,2015,92
2154,2013,23
2154,2016,10
2154,2019,278
2201,2007,14
2201,2012,18
2201,2013,24
2219,2004,273
2219,2008,35
2219,2009,3
2219,2011,3
2219,2012,4
2219,2013,7
2219,2014,113
2219,2015,17
2219,2016,7
2233,2008,53
2233,2009,19
2233,2010,7
2233,2011,32
2306,2007,81
2306,2008,12
2306,2011,120
2306,2013,185
2306,2014,282
2309,2007,33
2309,2009,5
2334,2007,11
2334,2009,4
2334,2010,45
2334,2011,119
2334,2012,12
2334,2013,72
2358,2008,6
2358,2009,18
2358,2010,19
2358,2011,21
2358,2014,219
2358,2016,336
2374,2007,125
2374,2008,50
2374,2009,15
2374,2010,295
2374,2011,129
2374,2012,266
2386,2008,37
2386,2011,61
2386,2013,95
2421,2007,10
2421,2008,26
2421,2009,5
2421,2011,31
2421,2012,13
2421,2013,13
2421,2014,43
2421,2017,223
2421,2018,11
2421,2019,112
2453,2011,5
2453,2012,10
2453,2013,19
2453,2014,81
2453,2019,7
2453,2020,19
